original, substitute
marinblå,	BLÅ
med ljud,	Flerfärgat
mini,	Flerfärgat
miniböcker,	Lila
målarbok,	Flerfärgat
mörkblå,	BLÅ
natur,	Beige
navy,	BLÅ
offwhite-Pastell Pink,	Rosa
orange,	Orange
orkester,	Flerfärgat
passar Classic,	Grön
passar alla Classic,	Lila
pastell,	Flerfärgat
pekbok,	Flerfärgat
peppermint,	Grön
pysselbok,	Flerfärgat
rosa,	ROSA
röd,	Röd
samlingsvolym,	Flerfärgat
sand,	Beige
seriebok,	Flerfärgat
silver/charcoal,	Silver
sitt- och liggläge,	Beige
små,	Flerfärgat
stora,	Flerfärgat
svart,	Svart
svart/grå,	Svart
till Mysiga stugan,	Beige
till amningskudde,	Grå
toffee,	Beige
tom,	Flerfärgat
turkos,	BLÅ
vagnsbok,	Gul
verktygslåda,	Flerfärgat
vit,	Vit
vit/svart,	Vit
Älg,	Brun
Älg Vit,	Vit
Älvor,	Flerfärgat
Äpple,	Flerfärgat
Äpple/Hallon,	ROSA
Äventyret i Lindrizia,	blÅ
älvor,	ROSA
