original, substitute
Confetti Sandy,	Beige
Confetti Terracotta,	Brun
Confetti Yellow,	Gul
Confetti mix,	ROSA
Cool Air Grå,	Grå
Cool Air Khakigrön,	Grön
Cool Air Ljusblå,	BLÅ
Cool Air Mesh Onyx Black,	Svart
Cool Air Mesh Svart,	Svart
Cool Air Midnattsblå,	BLÅ
Cool Air Svart,	Svart
Cool Flow Black,	Svart
Cool Flow Blue,	BLÅ
Cool Flow Silver,	Silver
Coral,	ROSA
Coral Blush,	ROSA
Coral Cloud,	ROSA
Coral Confetti,	ROSA
Coral Floral,	ROSA
Coral Lupin,	ROSA
Coral Pink,	ROSA
Coral Reef,	ROSA
Coral Rose,	ROSA
Coral Stripe,	ROSA
Coral blush,	ROSA
Cord with pile,	Brun
Coronet Blue,	BLÅ
Corydalis Blue,	BLÅ
Cosmos Black,	Svart
Cotton Candy Pink,	ROSA
Country Blue,	BLÅ
Crab Cove,	Lila
Crack,	Flerfärgat
Cranberry Pink,	ROSA
Cranberry pink,	ROSA
Cream,	Beige
Cream Gold,	Guld
Creme,	beige
Creme Kalas,	beige
Crispy Stripes,	Flerfärgat
Croco,	Grön
Crystal Grey,	Grå
Crystal Seas,	Flerfärgat
Crystal Teal,	BLÅ
Crystal grey,	Grå
Créme De Peche,	beige
Cupcake,	ROSA
Curry,	Brun
Curry Black,	Svart
Cute Doodle World,	ROSA
Cyan Blue,	BLÅ
Dadda,	Flerfärgat
Dahlia,	Violett
Daisy Chain,	Vit
Dalmatin,	Vit
Damson,	Grå
Dandelion Petrol,	BLÅ
Dark Blue,	BLÅ
Dark Blue Denim,	BLÅ
Dark Brown,	Brun
Dark Green,	Grön
Dark Grey,	Grå
Dark Grey Melange,	Grå
Dark Marine,	BLÅ
Dark Navy,	BLÅ
Dark Ocher,	brun
Dark Plum,	Lila
Dark Rose,	ROSA
Dark Rose Multi Mix,	ROSA
Dark Rose/Terracotta Mix,	ROSA
Dark Sapphire,	BLÅ
Dark Slate Black,	Svart
Dark Yellow,	Gul
Dark blue denim,	BLÅ
Dark green,	Grön
Dark grey,	Grå
Dark rose,	ROSA
Dark sapphire,	BLÅ
Dark sapphrie,	BLÅ
Dark yellow,	Gul
Darkest spruce,	Grön
Darling Pastell,	Flerfärgat
Dawn Grey,	Grå
Dazzling blue,	BLÅ
Deauville Mauve,	brun
Deco Collection,	Grön
Deep Black,	Svart
Deep Blue,	BLÅ
Deep Blush,	ROSA
Deep Lagoon,	BLÅ
Deep Lichen Green,	Grön
Deep Orchid,	ROSA
Deep Purple,	Lila
Deep Sea Yellow,	Gul
Deep purple,	Lila
Delightful Grey,	Grå
Denim,	BLÅ
Denim Blue,	BLÅ
Denim Grey,	Grå
Denim/Midnattsblå,	BLÅ
Desert,	beige
Desert Rain,	Grå
Desert Rose,	ROSA
Desert Weaves,	beige
Desert rose,	ROSA
Desert sage,	Grön
Dessert Melange,	Grå
Dessert Weaves,	beige
Diddi,	ROSA
Diidi,	Lila
Dimrosa,	ROSA
Dino,	BLÅ
Dino Dumbo Grey,	Grå
Dino Faune Green,	Grön
Dino Mix,	beige
Dinos,	BLÅ
Dinosaur,	Grön
Dinosaurie,	brun
Dinosaurieformad,	BLÅ
Dinosauriepark,	brun
Dinosaurier,	Flerfärgat
Diplodocus,	ROSA
Diving,	BLÅ
Djungel,	Flerfärgat
Djungel Tiger,	Gul
Djungeldjur,	Flerfärgat
Djur,	Flerfärgat
Djur Blå,	BLÅ
Djur Grön,	Grön
Djur Rosa,	ROSA
Doddo,	blÅ
Dog,	brun
Doktor,	Flerfärgat
Dots of Fauna,	vit
Dove,	Grå
Dove Grey,	Grå
Dragon Fly,	ROSA
Dragonfly Daze,	blÅ
Drakar,	Flerfärgat
Dream Blue,	BLÅ
Dream blue,	BLÅ
Dress Blues,	BLÅ
Dry Clay,	Grå
Dry Green,	Grön
Duck Green,	Grön
Dumbo Grey,	Grå
Dusk Blue,	BLÅ
Dusky Orchid,	ROSA
Dusty,	ROSA
Dusty Blue,	BLÅ
Dusty Coral,	Flerfärgat
Dusty Green,	Grön
Dusty Grey,	Grå
Dusty Lavender,	Grå
Dusty Olive,	Grön
Dusty Pink,	ROSA
Dusty Rose,	ROSA
Dusty pink,	ROSA
Dusty rose,	ROSA
Dynamic Grey,	Grå
Ebbe navy,	BLÅ
Ebbe navy stripes,	BLÅ
Ebony,	Svart
Eggplant/Azalea,	ROSA
Ekollon,	Flerfärgat
Ekorre,	Glu
Elderberry,	Lila
Elefant,	Grå
Elefant Mint,	Grön
Elefant Rosa,	ROSA
Elegant Blue,	BLÅ
Elephant,	Grå
Elephant Grey,	Grå
Elephantastic,	BLÅ
Eller när Ester slutade med napp,	BLÅ
Elm,	Flerfärgat
Elm Green,	Grön
Emil,	Flerfärgat
Emil Hyss,	blÅ
Emil Ida,	Grön
Emma,	beige
Empire Yellow,	Gul
En bok med flikar,	blÅ
En fyll-i-bok,	vit
En godnattsaga,	blÅ
Eng,	Flerfärgat
Enhörning,	Lila
Enhörning Pastell,	ROSA
Enhörning Rosa,	ROSA
Enhörningar,	Lila
Enhörningar och vänner,	Lila
Ensign Blue,	BLÅ
Ensign blue,	BLÅ
Essential Black,	Svart
Essential Blue,	BLÅ
Essential Graphite,	Grå
Essential Red,	Röd
Essential Graphite,	Grå
Estate Blue,	BLÅ
Estate blue,	BLÅ
Etoile Blue,	BLÅ
Etoile Rose,	ROSA
Etoile Sand,	beige
Eucalyptus,	Grön
Eucalyptus Navy Blue,	BLÅ
Eucalyptus green,	Grön
Everest Feathers,	Grön
Exp.,	Flerfärgat
Exuberance,	orange
FTWR WHITE,	Vit
FTWR WHITE/BLACK,	Vit
FTWWHT/CBLACK/FTWW,	Svart
Fabian,	Grå
Faded Denim,	blÅ
Faded Rose,	ROSA
Faience,	blÅ
Fairy,	Grå
Fall Flower,	blÅ
Fancy Pink,	ROSA
Fantastic Red,	Röd
Fantastiska Drakar,	Flerfärgat
Farm,	Flerfärgat
Farm Babies,	Flerfärgat
Fawn,	beige
Fawns Song,	Grön
Feather,	Grön
Feather Blue,	BLÅ
Feather Pink,	ROSA
Feathered Friend,	Röd
Feer,	Lila
Feldspar,	Grön
Field green,	Grön
Fiery Coral,	Röd
Findus,	Grön
Fiori,	blÅ
First crush fuchsia,	Lila
Fisk,	Flerfärgat
Fiskar,	Flerfärgat
Fjäril,	ROSA
Fjärilar,	ROSA
Flag Red,	Röd
Flamingo,	ROSA
Flerfärgad,	Flerfärgat
Fleur,	ROSA
Flicka,	Flerfärgat
Flint,	Grå
Flint Stone,	blÅ
Flip,	Flerfärgat
Flodhäst,	Grå
Flora,	Flerfärgat
Flower Garden,	blÅ
Flowers,	Lila
Foggy Dew,	Grå
Fordon,	Flerfärgat
Forest,	Grön
Forest Green,	Grön
Forest green,	Grön
Forest green/Light rose,	Grön
Forever Blue,	BLÅ
Former & siffror,	Flerfärgat
Formskuren,	blÅ
Fossil,	Grå
Fotboll,	Vit
Four Leaf Clover,	Grön
Freedom Limited Edition,	blÅ
Fresh Black Cab,	Svart
Frost,	Lila
Frost Grey,	Grå
Frost Grey-Black,	Svart
Frost Grey-Brown,	Brun
Frosty Green,	Grön
Frozen Flowers,	Flerfärgat
Fruit Salad,	Flerfärgat
Fruitstalk,	Grön
Fuchsia,	ROSA
Fuchsia Pink,	ROSA
Fuchsia Purple,	Lila
Fuschia,	ROSA
GRAPE LEAF/TRUE WH,	Grön
Galapagos,	ROSA
Gammelrosa,	ROSA
Garden Bunny,	Grå
Gecko,	Grön
Geometric Grey,	Grå
Geometric Red,	Röd
Gibraltar Sea,	blÅ
Gibraltar sea,	blÅ
Gigglin Gaby,	ROSA
Ginger,	ROSA
Gipsfigurer,	Flerfärgat
Giraff,	Brun
Giraff Grå,	Grå
Giraff och Elefant,	Glu
Giraffing Around,	Lila
Gissa hur mycket jag tycker om dig,	beige
Gittan, Lill-Zlatan och dom andra,	Flerfärgat
Glass,	Flerfärgat
Glass Vit,	Vit
Glassmycken,	Lila
Glitter,	Lila
Glitter Gold,	Guld
Glitter Ocean,	blÅ
Glitter Rose,	ROSA
Glitter bubblegum pink,	ROSA
Glitterfärger,	Flerfärgat
Glittrig,	ROSA
Glittriga tatueringar,	Flerfärgat
Go Bananas,	Gul
Goblin Blue,	BLÅ
Gold,	Guld
Gold Colour,	Guld
Gold Dots,	Guld
Golden Brown,	Brun
Golden Grey,	Grå
Golden Orange,	Orange
Golden Rod,	Guld
Golden Sand,	Guld
Golden Vintage Flower,	Guld
